model,cue,A1,A2,A3
gemma3:1b,lore,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,Norway,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,petrol,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,Islam,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,mitten,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,cozy,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,hum,strongest,bright,warm
gemma3:1b,head,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,mints,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,increasing,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,chauffeur,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,constant,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,zeal,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,periscope,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,oddity,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,monotonous,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,stupid,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,hers,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,scribe,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,campfire,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,cartoon,strongest,animation,character
gemma3:1b,contempt,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,cactus,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,fad,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,since,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,tom,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,devil,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,tuba,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,algae,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,crows,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,cooler,strongest,weather,cool
gemma3:1b,martial art,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,medic,strongest,care,treat
gemma3:1b,pesky,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,stretch,strongest,effort,power
gemma3:1b,thrifty,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,amass,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,flawed,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,term,Invalid Response,Invalid Response,Invalid Response
